,Division,Time,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,Referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_coef,draw_coef,away_coef,away_shots_on_target
0,0,,152,426,0,0,0,0,-1,,,,,,,,,,,,,3.627689585,3.577721409,2.198599748,
1,0,,216,341,2,2,0,1,-1,,,,,,,,,,,,,1.608321225,4.251999238,6.533804976,
2,0,,223,119,2,2,2,0,-1,,,,,,,,,,,,,2.166811125,3.486596082,3.821466892,
3,0,,68,137,2,1,0,1,-1,,,,,,,,,,,,,2.259243921,3.592401371,3.460103303,
4,1,,425,225,2,2,1,0,-1,13,11,5,7,18,15,4,10,3,4,1,0,2.424277931,3.414191419,3.282876365,-1.032100547
5,1,,393,300,0,0,0,0,-1,6,6,1,2,9,13,6,8,1,0,0,0,2.787162831,3.375000809,2.817568243,0.177365485
6,1,,239,140,0,0,0,0,-1,16,4,8,1,9,16,6,1,0,2,0,0,2.080238725,3.58206961,3.998117355,0.443965515
7,1,,211,424,2,0,1,0,-1,18,5,7,3,12,10,6,6,2,1,0,1,2.099891856,3.449822334,4.099788861,0.490003772
8,1,,99,5,1,0,0,0,-1,9,5,5,2,5,9,6,4,0,1,0,0,1.312957383,5.8073115,13.12957383,4.730255467
9,0,,303,382,1,0,1,0,-1,,,,,,,,,,,,,1.528474813,4.476952033,7.553623914,
10,0,,75,164,1,0,0,0,-1,,,,,,,,,,,,,2.597932907,3.359046063,3.054600801,
11,0,,138,4,1,4,1,2,-1,,,,,,,,,,,,,1.709009371,3.960880541,5.800578863,
12,0,,399,177,1,1,1,1,-1,,,,,,,,,,,,,2.289645269,3.454377862,3.524062718,
13,1,,141,217,3,0,1,0,-1,17,6,11,2,11,16,10,3,0,1,0,0,1.714712085,4.03461667,5.587944089,0.409513334
14,0,,232,455,3,3,0,0,-1,,,,,,,,,,,,,1.816078032,3.824924123,5.052552289,
15,0,,164,399,1,1,0,0,-1,,,,,,,,,,,,,1.603522088,4.325550323,6.443783204,
16,0,,119,152,3,0,2,0,-1,,,,,,,,,,,,,1.888972497,3.767843536,4.646670313,
17,0,,4,232,1,2,1,2,-1,,,,,,,,,,,,,3.302800364,3.565408344,2.343271206,
18,2,,483,305,1,1,0,0,-1,,,,,,,,,,,,,2.713706976,3.738885167,2.67350391,
19,1,,140,425,0,2,0,1,-1,7,4,1,4,6,6,8,5,0,2,0,0,2.717965566,3.336606982,2.920798817,0.790008419
20,2,,472,339,3,2,2,1,-1,,,,,,,,,,,,,7.949590804,4.859212793,1.474028985,
21,2,,390,494,1,1,0,1,-1,,,,,,,,,,,,,1.59199126,4.377975966,6.517214221,
22,1,,300,424,1,1,0,0,-1,10,15,6,6,8,8,5,7,1,2,1,1,2.220399555,3.335533553,3.848692562,0.781405557
23,3,,76,17,1,0,1,0,-1,,,,,,,,,,,,,1.744880412,4.097976281,5.184787509,
24,3,,46,429,1,1,1,0,-1,,,,,,,,,,,,,1.757185427,4.136916549,5.020529792,
25,3,,20,144,1,1,0,1,-1,,,,,,,,,,,,,2.469223213,3.647483252,3.022493144,
26,1,,5,393,0,0,0,0,-1,11,4,5,1,10,12,5,4,2,2,0,0,2.024580618,3.492401566,4.352848328,0.901690649
27,0,,426,223,1,1,0,0,-1,,,,,,,,,,,,,1.781891024,3.900361465,5.197182155,
28,2,,214,457,1,1,1,1,-1,,,,,,,,,,,,,1.409251095,5.314889842,8.908480134,
29,3,,370,175,2,0,1,0,-1,,,,,,,,,,,,,1.857557274,3.7854005,4.819608063,
30,3,,433,29,1,1,1,0,-1,,,,,,,,,,,,,3.125965906,3.862080458,2.319265027,
31,4,,9,139,4,1,3,0,-1,,,,,,,,,,,,,2.397781146,3.746533041,3.067161716,
32,4,,121,142,0,4,0,1,-1,,,,,,,,,,,,,3.856751633,3.836345539,2.040609329,
33,4,,299,265,2,2,1,2,-1,,,,,,,,,,,,,3.044875265,3.643700734,2.45619938,
34,4,,351,165,3,1,2,0,-1,,,,,,,,,,,,,2.489839932,3.542455187,3.066754062,
35,4,,374,208,2,0,0,0,-1,,,,,,,,,,,,,2.644948212,3.543617875,2.859403473,
36,0,,341,68,4,0,2,0,-1,,,,,,,,,,,,,2.219290697,3.52060206,3.631566595,
37,1,,225,239,1,1,1,1,-1,11,12,7,5,11,8,4,6,1,1,1,0,2.380338626,3.400483751,3.380480905,0.197957412
38,2,,470,130,2,2,0,0,-1,,,,,,,,,,,,,1.519299851,4.740215534,7.100194635,
39,1,,217,211,1,1,1,1,-1,10,10,6,3,15,21,3,9,3,3,0,0,3.563460133,3.403753236,2.29578664,-0.754636671
40,2,,456,169,0,1,0,1,-1,,,,,,,,,,,,,3.661482965,3.753020039,2.125694277,
41,2,,212,313,0,2,0,2,-1,,,,,,,,,,,,,1.828824105,4.031496232,4.647840267,
42,0,,455,75,0,1,0,1,-1,,,,,,,,,,,,,2.314276589,3.41631306,3.50647968,
43,0,,177,216,3,1,0,1,-1,,,,,,,,,,,,,4.014429469,3.611018665,2.066250462,
44,2,,451,202,4,1,2,0,-1,,,,,,,,,,,,,1.35676393,5.740933944,10.12510396,
45,0,,382,138,2,0,1,0,-1,,,,,,,,,,,,,2.957989473,3.39769061,2.648200035,
46,2,,12,3,2,2,1,0,-1,,,,,,,,,,,,,1.676152231,4.305804233,5.520261837,
47,0,,137,303,2,2,1,1,-1,,,,,,,,,,,,,2.527157524,3.511632543,3.034618874,
48,5,,154,13,0,1,0,0,-1,,,,,,,,,,,,,1.724058875,3.914627798,5.729960378,
49,6,,292,221,0,1,0,1,-1,,,,,,,,,,,,,1.988575481,3.340806808,4.812352664,
50,6,,49,21,4,5,2,2,-1,,,,,,,,,,,,,2.194117107,3.514650552,3.707651594,
51,7,,94,220,1,0,0,0,-1,13,12,5,6,11,8,7,4,1,3,0,0,1.826776594,3.702925528,5.193970208,0.528050835
52,8,,327,156,2,1,1,1,-1,,,,,,,,,,,,,2.53164557,3.137254902,3.375527426,
53,6,,467,379,2,1,1,1,-1,,,,,,,,,,,,,1.938852756,3.552871542,4.699941498,
54,2,,494,470,0,1,0,0,-1,,,,,,,,,,,,,3.256207974,3.621390176,2.343252467,
55,3,,29,46,4,2,1,1,-1,,,,,,,,,,,,,2.704259346,3.697869787,2.704259346,
56,3,,144,370,0,0,0,0,-1,,,,,,,,,,,,,3.179540432,3.682112952,2.359013869,
57,9,,408,410,1,0,1,0,-1,8,19,2,3,8,11,2,4,0,2,0,0,1.682919315,4.111563356,5.794482671,1.432197448
58,5,,184,412,0,1,0,0,-1,,,,,,,,,,,,,2.011061602,3.559579035,4.313727135,
59,5,,234,447,1,1,0,1,-1,,,,,,,,,,,,,3.967579097,3.591167747,2.085522346,
60,2,,457,456,1,3,1,1,-1,,,,,,,,,,,,,2.925091625,3.6639556,2.530356077,
61,9,,448,260,3,1,1,0,-1,6,4,4,2,12,11,8,3,2,3,0,0,2.019882626,3.603308203,4.21231804,0.552302648
